,version,group,PID,phase,condition,trial,old_pair,stimulus_left,stimulus_right,old_response,rt_pairs,chosen_object,left_object_chosen,rt_object,pairs_acc,zscored_rt_pairs,zscored_rt_object
123,V1,d09172021,VIK7A,memory_test,1.0,3.0,0.0,2.0,32.0,1.0,1720.0,,0.0,393.0,0,-0.4520011024183606,-0.2289323772355189
124,V1,d09172021,VIK7A,memory_test,1.0,4.0,0.0,34.0,14.0,1.0,3411.0,,0.0,314.0,0,1.8182975040849505,-0.4592251336226919
125,V1,d09172021,VIK7A,memory_test,0.0,5.0,1.0,59.0,20.0,1.0,2024.0,20.0,0.0,386.0,1,-0.043857532709900136,-0.2493380645103317
126,V1,d09172021,VIK7A,memory_test,1.0,6.0,1.0,56.0,14.0,1.0,1899.0,14.0,0.0,395.0,1,-0.21167972420186576,-0.2231021808712867
127,V1,d09172021,VIK7A,memory_test,1.0,7.0,0.0,58.0,60.0,0.0,2146.0,,,,1,0.1199369261862583,
128,V1,d09172021,VIK7A,memory_test,1.0,8.0,0.0,66.0,40.0,0.0,2047.0,,,,1,-0.012978249475378472,
129,V1,d09172021,VIK7A,memory_test,0.0,9.0,1.0,43.0,50.0,1.0,1569.0,50.0,0.0,634.0,1,-0.654730309740655,0.4736062846544646
130,V1,d09172021,VIK7A,memory_test,1.0,10.0,1.0,2.0,11.0,1.0,1408.0,11.0,0.0,316.0,1,-0.8708852923823067,-0.4533949372584597
131,V1,d09172021,VIK7A,memory_test,0.0,11.0,1.0,31.0,29.0,1.0,1127.0,29.0,0.0,275.0,1,-1.2481495788562451,-0.5729139627252203
132,V1,d09172021,VIK7A,memory_test,0.0,12.0,1.0,55.0,68.0,1.0,1418.0,55.0,1.0,269.0,1,-0.8574595170629494,-0.5904045518179171
133,V1,d09172021,VIK7A,memory_test,1.0,13.0,1.0,57.0,60.0,0.0,1470.0,57.0,,,0,-0.7876454854022917,
134,V1,d09172021,VIK7A,memory_test,1.0,14.0,1.0,40.0,58.0,1.0,2028.0,58.0,0.0,197.0,1,-0.03848722258215725,-0.8002916209302773
135,V1,d09172021,VIK7A,memory_test,1.0,15.0,0.0,11.0,56.0,0.0,2631.0,,,,1,0.7710870291750849,
136,V1,d09172021,VIK7A,memory_test,0.0,16.0,0.0,68.0,50.0,0.0,1808.0,,,,1,-0.3338542796080167,
137,V1,d09172021,VIK7A,memory_test,1.0,17.0,0.0,48.0,57.0,0.0,2790.0,,,,1,0.9845568567528652,
138,V1,d09172021,VIK7A,memory_test,1.0,18.0,1.0,32.0,48.0,1.0,1051.0,32.0,1.0,271.0,1,-1.3501854712833603,-0.5845743554536849
139,V1,d09172021,VIK7A,memory_test,0.0,19.0,0.0,23.0,21.0,0.0,2141.0,,,,1,0.11322403852657968,
140,V1,d09172021,VIK7A,memory_test,0.0,20.0,1.0,21.0,7.0,1.0,1383.0,21.0,1.0,283.0,1,-0.9044497306807,-0.5495931772682915
141,V1,d09172021,VIK7A,memory_test,0.0,21.0,1.0,23.0,36.0,0.0,1990.0,36.0,,,0,-0.0895051687957148,
142,V1,d09172021,VIK7A,memory_test,0.0,22.0,0.0,36.0,31.0,1.0,2131.0,,1.0,231.0,0,0.09979826320722243,-0.7011782827383294
143,V1,d09172021,VIK7A,memory_test,0.0,23.0,0.0,7.0,20.0,1.0,1217.0,,0.0,703.0,0,-1.1273176009820305,0.6747480592204764
144,V1,d09142021,eGaxL,memory_test,0.0,0.0,0.0,66.0,37.0,0.0,3382.0,,,,1,0.9312460519123408,
145,V1,d09142021,eGaxL,memory_test,0.0,1.0,0.0,60.0,18.0,1.0,3172.0,,0.0,5829.0,0,0.7479499454670469,0.6407752064548018
146,V1,d09142021,eGaxL,memory_test,1.0,2.0,1.0,5.0,63.0,0.0,3362.0,63.0,,,0,0.913789279869932,
147,V1,d09142021,eGaxL,memory_test,0.0,3.0,1.0,67.0,60.0,0.0,3455.0,60.0,,,0,0.9949632698671336,
148,V1,d09142021,eGaxL,memory_test,1.0,4.0,0.0,55.0,63.0,1.0,1448.0,,0.0,2966.0,0,-0.756823804588605,-0.5358401325596913
149,V1,d09142021,eGaxL,memory_test,1.0,5.0,1.0,3.0,24.0,0.0,1744.0,24.0,,,0,-0.4984635783609525,
150,V1,d09142021,eGaxL,memory_test,0.0,6.0,1.0,49.0,18.0,0.0,2421.0,49.0,,,0,0.09244815527459062,
151,V1,d09142021,eGaxL,memory_test,1.0,7.0,0.0,13.0,64.0,1.0,4023.0,,0.0,2478.0,0,1.4907355958715478,-0.7363948951999543
152,V1,d09142021,eGaxL,memory_test,1.0,8.0,0.0,10.0,5.0,0.0,2880.0,,,,1,0.4930810736478761,
153,V1,d09142021,eGaxL,memory_test,0.0,9.0,0.0,20.0,49.0,1.0,2729.0,,0.0,1657.0,0,0.3612824447276885,-1.073803624969741
154,V1,d09142021,eGaxL,memory_test,1.0,10.0,1.0,10.0,64.0,0.0,1704.0,10.0,,,0,-0.5333771224457704,
155,V1,d09142021,eGaxL,memory_test,0.0,11.0,1.0,6.0,20.0,1.0,2296.0,6.0,1.0,8192.0,1,-0.01665666999046534,1.6119041083378782
156,V1,d09142021,eGaxL,memory_test,0.0,12.0,1.0,37.0,22.0,0.0,2326.0,37.0,,,0,0.009528488073148088,
157,V1,d09142021,eGaxL,memory_test,0.0,13.0,0.0,22.0,6.0,0.0,1209.0,,,,1,-0.9654322304953921,
158,V1,d09142021,eGaxL,memory_test,1.0,14.0,0.0,24.0,51.0,0.0,2083.0,,,,1,-0.2025712922421207,
159,V1,d09142021,eGaxL,memory_test,1.0,15.0,1.0,48.0,51.0,0.0,1266.0,48.0,,,0,-0.9156804301745264,
160,V1,d09142021,eGaxL,memory_test,1.0,16.0,1.0,13.0,34.0,0.0,1500.0,13.0,,,0,-0.7114361972783417,
161,V1,d09142021,eGaxL,memory_test,1.0,17.0,0.0,34.0,48.0,0.0,705.0,,,,1,-1.4053428859640975,
162,V1,d09142021,eGaxL,memory_test,0.0,18.0,1.0,56.0,0.0,0.0,778.0,0.0,,,0,-1.3416256680093048,
163,V1,d09142021,eGaxL,memory_test,1.0,19.0,0.0,3.0,32.0,0.0,608.0,,,,1,-1.490008230369781,
164,V1,d09142021,eGaxL,memory_test,0.0,20.0,0.0,52.0,56.0,0.0,1810.0,,,,1,-0.4408562306210029,
165,V1,d09142021,eGaxL,memory_test,0.0,21.0,1.0,52.0,66.0,0.0,5112.0,52.0,,,0,2.4412568335807148,
166,V1,d09142021,eGaxL,memory_test,0.0,22.0,0.0,0.0,67.0,0.0,1869.0,,,,1,-0.3893587530958965,
167,V1,d09142021,eGaxL,memory_test,1.0,23.0,1.0,32.0,55.0,1.0,3680.0,32.0,1.0,4497.0,1,1.1913519553442342,0.0933593379367072
168,V1,d09172021,NtP4V,memory_test,0.0,0.0,0.0,65.0,66.0,1.0,6082.0,,1.0,3647.0,0,4.429494495395629,2.7733111492489178
169,V1,d09172021,NtP4V,memory_test,0.0,1.0,1.0,29.0,67.0,1.0,1987.0,67.0,1.0,1533.0,1,0.44046543877170174,0.4037791231515472
170,V1,d09172021,NtP4V,memory_test,0.0,2.0,0.0,38.0,5.0,1.0,1539.0,,0.0,2744.0,0,0.004058841123956042,1.7611600520086508
171,V1,d09172021,NtP4V,memory_test,0.0,3.0,1.0,39.0,38.0,0.0,1775.0,39.0,,,0,0.2339516023848221,
172,V1,d09172021,NtP4V,memory_test,1.0,4.0,1.0,49.0,40.0,1.0,1432.0,49.0,0.0,1744.0,1,-0.10017219893923322,0.6402839753306131
173,V1,d09172021,NtP4V,memory_test,0.0,5.0,0.0,67.0,20.0,1.0,1418.0,,0.0,1432.0,0,-0.11380990511572528,0.2905706394070654
174,V1,d09172021,NtP4V,memory_test,0.0,6.0,1.0,69.0,48.0,1.0,1487.0,69.0,0.0,1448.0,1,-0.04659549610301444,0.308504656633914
175,V1,d09172021,NtP4V,memory_test,0.0,7.0,0.0,48.0,39.0,1.0,1177.0,,0.0,670.0,0,-0.3485732757253385,-0.5635369310215992
176,V1,d09172021,NtP4V,memory_test,1.0,8.0,1.0,16.0,31.0,0.0,1470.0,31.0,,,0,-0.06315556788875479,
177,V1,d09172021,NtP4V,memory_test,1.0,9.0,1.0,59.0,56.0,1.0,972.0,59.0,1.0,892.0,1,-0.5482682590239721,-0.3147024419990749
178,V1,d09172021,NtP4V,memory_test,1.0,10.0,0.0,56.0,49.0,1.0,1169.0,,1.0,918.0,0,-0.35636625068333394,-0.2855596640054459
179,V1,d09172021,NtP4V,memory_test,0.0,11.0,0.0,19.0,29.0,0.0,1234.0,,,,1,-0.2930483291496208,
180,V1,d09172021,NtP4V,memory_test,1.0,12.0,0.0,16.0,11.0,1.0,1336.0,,0.0,525.0,0,-0.19368789843517872,-0.7260639621399146
181,V1,d09172021,NtP4V,memory_test,0.0,13.0,1.0,20.0,65.0,1.0,1841.0,65.0,0.0,784.0,1,0.2982436457882846,-0.4357570582803029
182,V1,d09172021,NtP4V,memory_test,1.0,14.0,1.0,43.0,22.0,1.0,1210.0,43.0,1.0,573.0,1,-0.3164272540236072,-0.6722619104593689
183,V1,d09172021,NtP4V,memory_test,1.0,15.0,0.0,31.0,40.0,0.0,1211.0,,,,1,-0.3154531321538578,
184,V1,d09172021,NtP4V,memory_test,1.0,16.0,0.0,10.0,43.0,0.0,914.0,,,,1,-0.6047673274694392,
185,V1,d09172021,NtP4V,memory_test,1.0,17.0,0.0,14.0,22.0,1.0,894.0,,1.0,542.0,0,-0.6242497648644278,-0.707009068836388
186,V1,d09172021,NtP4V,memory_test,1.0,18.0,0.0,59.0,6.0,1.0,927.0,,1.0,438.0,0,-0.5921037431626965,-0.8235801808109039
187,V1,d09172021,NtP4V,memory_test,0.0,19.0,1.0,19.0,64.0,1.0,1815.0,19.0,0.0,1291.0,1,0.2729164771747994,0.1325271125954621
188,V1,d09172021,NtP4V,memory_test,1.0,20.0,1.0,10.0,11.0,1.0,1480.0,11.0,0.0,336.0,1,-0.05341434919126047,-0.9379095406320638
189,V1,d09172021,NtP4V,memory_test,0.0,21.0,1.0,5.0,66.0,0.0,654.0,5.0,,,0,-0.8580390136042916,
190,V1,d09172021,NtP4V,memory_test,1.0,22.0,1.0,14.0,6.0,1.0,1090.0,14.0,1.0,420.0,1,-0.4333218783935391,-0.8437559501911086
191,V1,d09172021,NtP4V,memory_test,0.0,23.0,0.0,64.0,69.0,0.0,1722.0,,,,1,0.18232314328810212,
192,V1,d09172021,UmcnU,memory_test,0.0,0.0,0.0,34.0,3.0,0.0,2236.0,,,,1,-0.05647153112084693,
193,V1,d09172021,UmcnU,memory_test,1.0,1.0,0.0,15.0,2.0,1.0,3448.0,,0.0,10068.0,0,0.8913899214141743,3.3822539301072405
194,V1,d09172021,UmcnU,memory_test,0.0,2.0,1.0,19.0,60.0,1.0,2420.0,60.0,0.0,1918.0,1,0.08742822734981638,-0.11776124683869818
195,V1,d09172021,UmcnU,memory_test,1.0,3.0,0.0,29.0,36.0,0.0,2574.0,,,,1,0.2078660686785237,
196,V1,d09172021,UmcnU,memory_test,0.0,4.0,1.0,24.0,44.0,0.0,3771.0,24.0,,,0,1.1439965626425672,
197,V1,d09172021,UmcnU,memory_test,0.0,5.0,0.0,24.0,42.0,0.0,3732.0,,,,1,1.113496070358024,
198,V1,d09172021,UmcnU,memory_test,0.0,6.0,0.0,44.0,5.0,1.0,1596.0,,0.0,1739.0,0,-0.5569924301492409,-0.19463274581702006
199,V1,d09172021,UmcnU,memory_test,0.0,7.0,1.0,5.0,23.0,1.0,1432.0,5.0,1.0,1546.0,1,-0.6852509105252671,-0.2775165408048196
200,V1,d09172021,UmcnU,memory_test,0.0,8.0,1.0,46.0,34.0,0.0,2460.0,34.0,,,0,0.118710783539091,
201,V1,d09172021,UmcnU,memory_test,1.0,9.0,1.0,29.0,41.0,1.0,1496.0,41.0,0.0,1250.0,1,-0.6351988206224275,-0.4046336564337764
202,V1,d09172021,UmcnU,memory_test,0.0,10.0,1.0,3.0,14.0,1.0,2405.0,14.0,1.0,2765.0,1,0.07569726877883838,0.24598266173470185
203,V1,d09172021,UmcnU,memory_test,1.0,11.0,1.0,1.0,6.0,1.0,2241.0,1.0,1.0,1451.0,1,-0.0525612115971876,-0.3183142637262753
204,V1,d09172021,UmcnU,memory_test,0.0,12.0,1.0,42.0,66.0,1.0,980.0,66.0,1.0,972.0,1,-1.0387437954640704,-0.5240206771934047
