,Exp,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
88,Exp1,d11032021,ZGrrY,reward_learning,3.0,88.0,58.0,1.0,147.0,556.0,0.021912736672638312,1.0,464.0,-1.0451761359208462,1
89,Exp1,d11032021,ZGrrY,reward_learning,3.0,89.0,1.0,1.0,158.0,468.0,-0.3711208077232183,1.0,382.0,-1.2364986779554215,1
90,Exp1,d11032021,ZGrrY,reward_learning,3.0,90.0,23.0,1.0,154.0,500.0,-0.2281995188519977,1.0,455.0,-1.066174951510007,1
91,Exp1,d11032021,ZGrrY,reward_learning,3.0,91.0,56.0,1.0,158.0,395.0,-0.6971599979606903,1.0,398.0,-1.199167450241358,1
92,Exp1,d11032021,ZGrrY,reward_learning,3.0,92.0,32.0,-1.0,0.0,550.0,-0.004885004990715548,-1.0,460.0,-1.0545089428493621,1
93,Exp1,d11032021,ZGrrY,reward_learning,3.0,93.0,32.0,-1.0,0.0,550.0,-0.004885004990715548,-1.0,403.0,-1.1875014415807132,1
94,Exp1,d11032021,ZGrrY,reward_learning,3.0,94.0,5.0,-1.0,0.0,543.0,-0.03614903693129505,-1.0,513.0,-0.9308492510465267,1
95,Exp1,d11032021,ZGrrY,reward_learning,3.0,95.0,35.0,1.0,147.0,622.0,0.31668789496953076,1.0,599.0,-0.7301939020834355,1
96,Exp1,d11042021,l6WpQ,reward_learning,1.0,0.0,43.0,1.0,158.0,1594.0,5.156208821277564,,,,0
97,Exp1,d11042021,l6WpQ,reward_learning,1.0,1.0,30.0,1.0,152.0,1004.0,2.5802192325998257,1.0,974.0,3.3162136189096545,1
98,Exp1,d11042021,l6WpQ,reward_learning,1.0,2.0,38.0,-1.0,0.0,1015.0,2.628246157134495,-1.0,588.0,0.680178905361206,1
99,Exp1,d11042021,l6WpQ,reward_learning,1.0,3.0,20.0,1.0,150.0,890.0,2.082485651058703,1.0,519.0,0.20897062755073206,1
100,Exp1,d11042021,l6WpQ,reward_learning,1.0,4.0,32.0,1.0,142.0,690.0,1.209268841337436,1.0,791.0,2.0664873168905715,1
101,Exp1,d11042021,l6WpQ,reward_learning,1.0,5.0,10.0,1.0,153.0,417.0,0.017327896067906395,1.0,600.0,0.7621281710673754,1
102,Exp1,d11042021,l6WpQ,reward_learning,1.0,6.0,47.0,-1.0,0.0,530.0,0.5106953935604224,-1.0,580.0,0.625546061557093,1
103,Exp1,d11042021,l6WpQ,reward_learning,1.0,7.0,19.0,-1.0,0.0,594.0,0.7901247726712278,-1.0,884.0,2.701594126113384,1
104,Exp1,d11042021,l6WpQ,reward_learning,1.0,8.0,0.0,1.0,160.0,448.0,0.1526765015747028,1.0,587.0,0.6733497998856919,1
105,Exp1,d11042021,l6WpQ,reward_learning,1.0,9.0,1.0,-1.0,0.0,455.0,0.18323908991494714,-1.0,958.0,3.2069479313014284,1
106,Exp1,d11042021,l6WpQ,reward_learning,1.0,10.0,23.0,-1.0,0.0,455.0,0.18323908991494714,-1.0,534.0,0.3114072096834438,1
107,Exp1,d11042021,l6WpQ,reward_learning,1.0,11.0,36.0,-1.0,0.0,565.0,0.6635083352616441,-1.0,529.0,0.2772616823058732,1
108,Exp1,d11042021,l6WpQ,reward_learning,1.0,12.0,56.0,1.0,149.0,438.0,0.10901566108863944,1.0,675.0,1.274311081730934,1
109,Exp1,d11042021,l6WpQ,reward_learning,1.0,13.0,43.0,1.0,158.0,487.0,0.32295377947034987,1.0,653.0,1.1240707612696235,1
110,Exp1,d11042021,l6WpQ,reward_learning,1.0,14.0,56.0,1.0,149.0,463.0,0.21816776230379784,1.0,424.0,-0.4397943926231088,1
111,Exp1,d11042021,l6WpQ,reward_learning,1.0,15.0,40.0,-1.0,0.0,426.0,0.05662265250536341,-1.0,526.0,0.2567743658793309,1
112,Exp1,d11042021,l6WpQ,reward_learning,1.0,16.0,38.0,-1.0,0.0,48.0,-1.5937571178678314,-1.0,798.0,2.1142910552191703,1
