,Exp,group,PID,phase,trial,stimulus_id,painting,rt,rating,zscored_rt,zscored_rating
117,Exp1,d11042021,l6WpQ,rating,57.0,50.0,Gorke1.jpg,6.55,79.0,0.8627401545735748,0.1694874451079757
118,Exp1,d11042021,l6WpQ,rating,58.0,12.0,Kupkc1.jpg,2.59,31.0,-1.0825146493388313,-1.5253870059717825
119,Exp1,d11042021,l6WpQ,rating,59.0,22.0,Macb1n.jpg,3.382,86.0,-0.69346368855635,0.41665663589044044
120,Exp1,d11032021,GCq3m,rating,0.0,37.0,Mondb1.jpg,5.029,40.0,0.840387119323481,2.6622494704904147
121,Exp1,d11032021,GCq3m,rating,1.0,11.0,Wdekb1.jpg,2.695,10.0,-0.8138791676808251,-0.24026358031682113
122,Exp1,d11032021,GCq3m,rating,2.0,19.0,Macc1n.jpg,2.572,32.0,-0.9010577252221831,1.8882459902751518
123,Exp1,d11032021,GCq3m,rating,3.0,45.0,Klia1n.jpg,2.915,11.0,-0.657950040371079,-0.14351314528991324
124,Exp1,d11032021,GCq3m,rating,4.0,47.0,Kupkd1.jpg,3.683,12.0,-0.11361563230796554,-0.04676271026300539
125,Exp1,d11032021,GCq3m,rating,5.0,57.0,Lewc1n.jpg,3.422,34.0,-0.29860427879816404,2.0817468603289675
126,Exp1,d11032021,GCq3m,rating,6.0,22.0,Macb1n.jpg,2.894,10.0,-0.6728341843415546,-0.24026358031682113
127,Exp1,d11032021,GCq3m,rating,7.0,46.0,Deka1n.jpg,3.657,19.0,-0.13204362008093537,0.6304903349253497
128,Exp1,d11032021,GCq3m,rating,8.0,23.0,Lewib1.jpg,2.817,6.0,-0.7274093788999657,-0.6272653204244526
129,Exp1,d11032021,GCq3m,rating,9.0,43.0,Picac1.jpg,2.899,14.0,-0.6692903405390606,0.14673815979081034
130,Exp1,d11032021,GCq3m,rating,10.0,30.0,Lasse1.jpg,2.683,5.0,-0.8223843928068113,-0.7240157554513604
131,Exp1,d11032021,GCq3m,rating,11.0,55.0,Lewic1.jpg,3.738,50.0,-0.0746333504805289,3.6297538207594933
132,Exp1,d11032021,GCq3m,rating,12.0,36.0,Gorkf1.jpg,2.968,7.0,-0.6203852960646402,-0.5305148853975447
133,Exp1,d11032021,GCq3m,rating,13.0,0.0,Gorkc1.jpg,3.93,7.0,0.06145025153524961,-0.5305148853975447
134,Exp1,d11032021,GCq3m,rating,14.0,54.0,Kupka1.jpg,3.96,2.0,0.08271331435021485,-1.014267060532084
135,Exp1,d11032021,GCq3m,rating,15.0,2.0,Dekob1.jpg,10.478,30.0,4.7024680952816915,1.694745120221336
136,Exp1,d11032021,GCq3m,rating,16.0,50.0,Gorke1.jpg,5.043,8.0,0.850309881970465,-0.4337644503706368
137,Exp1,d11032021,GCq3m,rating,17.0,5.0,Kupb1n.jpg,4.102,15.0,0.1833584783410512,0.2434885948177182
138,Exp1,d11032021,GCq3m,rating,18.0,13.0,Picak1.jpg,3.951,7.0,0.07633439550572531,-0.5305148853975447
139,Exp1,d11032021,GCq3m,rating,19.0,31.0,Maca1n.jpg,4.588,31.0,0.5278200959434901,1.7914955552482439
140,Exp1,d11032021,GCq3m,rating,20.0,56.0,Luisc1.jpg,4.769,14.0,0.6561072415937812,0.14673815979081034
141,Exp1,d11032021,GCq3m,rating,21.0,17.0,Picab1.jpg,3.29,14.0,-0.3921617551840118,0.14673815979081034
142,Exp1,d11032021,GCq3m,rating,22.0,16.0,Lewa1n.jpg,3.657,32.0,-0.13204362008093537,1.8882459902751518
143,Exp1,d11032021,GCq3m,rating,23.0,8.0,Klina1.jpg,2.797,9.0,-0.7415847541099427,-0.337014015343729
