"","PID","chosen_obj","Exp","condition","reward_type","unchosen_obj","rating_chosen","rating_unchosen","zscored_rating_chosen","zscored_rating_unchosen","reward","memory_score_chosen","memory_score_unchosen"
"786","Am7dh",15,"Exp1",0,0,10,100,15,0.874860510203189,-1.27229473620502,0,1,0.5
"787","Am7dh",18,"Exp1",1,0,50,88,8,0.571732710710265,-1.44911928590923,0,0.5,0.5
"788","Am7dh",2,"Exp1",1,0,35,100,100,0.874860510203189,0.874860510203189,0,0.5,0.5
"789","Am7dh",21,"Exp1",0,1,38,85,59,0.495950760837034,-0.160826138064301,142,0.5,0.5
"790","Am7dh",24,"Exp1",0,1,25,100,65,0.874860510203189,-0.0092622383178391,158,0.5,0.5
"791","Am7dh",36,"Exp1",1,1,31,84,72,0.47069011087929,0.167562311386366,147,0.5,1
"792","Am7dh",43,"Exp1",1,1,29,100,60,0.874860510203189,-0.135565488106557,143,0.5,0.5
"793","Am7dh",45,"Exp1",1,1,8,100,100,0.874860510203189,0.874860510203189,150,0.5,0.5
"794","Am7dh",47,"Exp1",0,0,28,74,63,0.218083611301854,-0.0597835382333264,0,0.5,1
"795","Am7dh",48,"Exp1",0,1,12,100,84,0.874860510203189,0.47069011087929,141,0,0.5
"796","Am7dh",5,"Exp1",1,1,55,100,24,0.874860510203189,-1.04494888658533,160,1,0.5
"797","Am7dh",51,"Exp1",1,0,9,84,70,0.47069011087929,0.117041011470879,0,0,0
"798","Am7dh",52,"Exp1",0,0,4,100,88,0.874860510203189,0.571732710710265,0,1,0.5
"799","Am7dh",57,"Exp1",0,0,49,100,50,0.874860510203189,-0.388171987683994,0,0.5,0.5
"800","Am7dh",7,"Exp1",1,0,16,100,23,0.874860510203189,-1.07020953654307,0,0.5,0.5
"801","AtJvf",14,"Exp1",1,1,24,55,60,0.550546570506412,0.80983066964601,154,0.5,0
"802","AtJvf",18,"Exp1",0,1,35,28,29,-0.849587564847415,-0.797730745019495,150,0.5,1
"803","AtJvf",19,"Exp1",0,1,27,56,50,0.602403390334332,0.291262471366815,149,1,1
"804","AtJvf",22,"Exp1",1,1,9,50,33,0.291262471366815,-0.590303465707817,156,1,1
